# 0D ASCII output created by CarpetIOASCII
#
0	0	0 0 0	0 0 0	0	0 0 0	1.0915224503093

16	0	0 0 0	0 0 0	0.128571428571429	0 0 0	1.09140980385001

32	0	0 0 0	0 0 0	0.257142857142857	0 0 0	1.09139910877092

48	0	0 0 0	0 0 0	0.385714285714286	0 0 0	1.09138731834874

64	0	0 0 0	0 0 0	0.514285714285714	0 0 0	1.09136280280848

80	0	0 0 0	0 0 0	0.642857142857143	0 0 0	1.09133837196182

96	0	0 0 0	0 0 0	0.771428571428571	0 0 0	1.09144815700239

112	0	0 0 0	0 0 0	0.9	0 0 0	1.09130301559963

128	0	0 0 0	0 0 0	1.02857142857143	0 0 0	1.09129093901846

144	0	0 0 0	0 0 0	1.15714285714286	0 0 0	1.09128662039655

160	0	0 0 0	0 0 0	1.28571428571429	0 0 0	1.09146916244898

176	0	0 0 0	0 0 0	1.41428571428571	0 0 0	1.09131594541759

192	0	0 0 0	0 0 0	1.54285714285714	0 0 0	1.09132198550524

208	0	0 0 0	0 0 0	1.67142857142857	0 0 0	1.09132880233827

224	0	0 0 0	0 0 0	1.8	0 0 0	1.09134787825575

240	0	0 0 0	0 0 0	1.92857142857143	0 0 0	1.09137887657275

256	0	0 0 0	0 0 0	2.05714285714286	0 0 0	1.0914276504093

272	0	0 0 0	0 0 0	2.18571428571429	0 0 0	1.09145584441518

288	0	0 0 0	0 0 0	2.31428571428571	0 0 0	1.09149035766963

304	0	0 0 0	0 0 0	2.44285714285714	0 0 0	1.09153029776188

320	0	0 0 0	0 0 0	2.57142857142857	0 0 0	1.09155632861127

336	0	0 0 0	0 0 0	2.7	0 0 0	1.09156968215777

352	0	0 0 0	0 0 0	2.82857142857143	0 0 0	1.09157847695629

368	0	0 0 0	0 0 0	2.95714285714286	0 0 0	1.09158963316221

384	0	0 0 0	0 0 0	3.08571428571428	0 0 0	1.09160799877809

400	0	0 0 0	0 0 0	3.21428571428571	0 0 0	1.08915438894771

416	0	0 0 0	0 0 0	3.34285714285714	0 0 0	1.09160288681809

432	0	0 0 0	0 0 0	3.47142857142857	0 0 0	1.08992625261514

448	0	0 0 0	0 0 0	3.6	0 0 0	1.09163832798423

464	0	0 0 0	0 0 0	3.72857142857143	0 0 0	1.09071438166224

480	0	0 0 0	0 0 0	3.85714285714286	0 0 0	1.09009613415056

496	0	0 0 0	0 0 0	3.98571428571428	0 0 0	1.09164499309633

512	0	0 0 0	0 0 0	4.11428571428571	0 0 0	1.09153441717669

528	0	0 0 0	0 0 0	4.24285714285714	0 0 0	1.09163825658848

544	0	0 0 0	0 0 0	4.37142857142857	0 0 0	1.09195943352724

