# Carpet timing information at iteration 0 time 0:
# 1: timer name 2: gettimeofday [secs] 3: getrusage [secs] 4: cycle [secs] 5: cycle[avg] [secs] 6: cycle[sdv] [secs] 7: cycle[min] [secs] 8: cycle[max] [secs]
main/Initialise/CallInitial/CallRegridInitialMeta/Recompose/CarpetLib::dh::recompose/dh::recompose_free_old: 0.00067 0 1.73707e+06 1738.81 6661.86 1594 1695
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refbndprol: 7e-05 0.001 188458 1884.58 1457.47 1719 1765
meta mode/meta mode/global mode/level(1): 31.213 461.897 8.09557e+10 3.37315e+09 6.91073e+10 16567 1.33771e+06
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/test: 0.140883 1.18882 3.6562e+08 3.6562e+06 3.73565e+06 3.5275e+06 3.53304e+06
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/domain: 0.00106 0 2.74227e+06 274227 14232.3 270351 270351
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync: 0.001527 0.010999 3.93124e+06 39312.4 571545 25676 92842
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm: 0.008263 0.059989 2.14101e+07 214101 1.41497e+06 193608 194513
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/mgrest: 8.1e-05 0 190702 1907.02 1560.62 1688 1905
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/sync: 0.007 0.050991 1.82421e+07 182421 1.31121e+06 165180 165332
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/region: 0.030264 0.028995 7.85164e+07 7.85164e+06 1.04526e+06 7.09027e+06 7.82869e+06
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refprol: 8.2e-05 0.001999 199365 1993.65 5439.27 1741 1881
main/Initialise/CallInitial/CallRegridInitialMeta/Recompose: 0.019082 0.002999 4.94924e+07 4.94924e+06 4.77343e+06 724660 4.78852e+06
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/mgprol: 7e-05 0 178658 1786.58 1155.19 1633 1808
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refrest: 7.6e-05 0.001 199327 1993.27 7761.73 1719 1808
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs2: 0.001006 0.009999 2.69472e+06 26947.2 542343 13563 80395
