# Carpet timing information at iteration 0 time 0:
# 1: timer name 2: gettimeofday [secs] 3: getrusage [secs] 4: cycle [secs] 5: cycle[avg] [secs] 6: cycle[sdv] [secs] 7: cycle[min] [secs] 8: cycle[max] [secs]
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid: 1.77007 1.76473 4.59061e+09 4.59061e+09 0 4.59061e+09 4.59061e+09
main: 374.74 4808.56 9.71872e+11 9.71872e+11 0 9.71872e+11 9.71872e+11
meta mode: 374.74 4808.56 9.71873e+11 9.71873e+11 0 9.71873e+11 9.71873e+11
main/CarpetStartup/CheckRegions: 4e-06 0 5206 5206 0 5206 5206
main/CarpetStartup: 0.472716 4.5773 1.22597e+09 1.22597e+09 0 1.22597e+09 1.22597e+09
main/CarpetStartup/AllocateGridHierarchy: 1.3e-05 0 33099 33099 0 33099 33099
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/domain: 0.001061 0 2.74898e+06 274898 19996.4 269911 273597
main/CarpetStartup/CarpetLib::dh::regrid: 0.000212 0.004 484120 4841.2 51985.4 3955 4040
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refrest: 7.7e-05 0 204642 2046.42 2531.37 1820 1887
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/region: 0.084411 0.71089 2.19113e+08 2.19113e+06 4.71942e+06 2.12811e+06 2.1412e+06
main/CarpetStartup/CarpetLib::dh::recompose: 8.2e-05 0 193925 1939.25 1343.99 1747 1835
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/domain: 0.003804 0.027997 9.84896e+06 98489.6 204112 93707 97188
main/CarpetStartup/CarpetLib::gh::regrid: 0.462668 4.43832 1.19987e+09 1.19987e+07 2.08167e+08 9.62945e+06 1.00496e+07
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refbndprol: 8.1e-05 0 195120 1951.2 2128.76 1676 1826
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/buffers: 0.121867 0.997848 3.16316e+08 3.16316e+06 1.06486e+06 3.08541e+06 3.09008e+06
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/test: 0.141325 1.18882 3.66745e+08 3.66745e+06 3.69597e+06 3.54049e+06 3.54049e+06
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/mgprol: 7.9e-05 0 186544 1865.44 1271.38 1670 1820
main/Initialise/CallInitial/CallRegridInitialMeta/Recompose: 0.019644 0.006998 5.09435e+07 5.09435e+06 4.86377e+06 727655 6.48429e+06
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs1: 8.2e-05 0.001 223900 2239 1826.51 2010 2099
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs2: 0.000955 0.006997 2.53207e+06 25320.7 445812 13483 21353
