# Carpet timing information at iteration 0 time 0:
# 1: timer name 2: gettimeofday [secs] 3: getrusage [secs] 4: cycle [secs] 5: cycle[avg] [secs] 6: cycle[sdv] [secs] 7: cycle[min] [secs] 8: cycle[max] [secs]
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid: 1.77009 1.76773 4.59094e+09 4.59094e+09 0 4.59094e+09 4.59094e+09
main: 374.713 4785.08 9.71864e+11 9.71864e+11 0 9.71864e+11 9.71864e+11
meta mode: 374.713 4785.08 9.71864e+11 9.71864e+11 0 9.71864e+11 9.71864e+11
main/CarpetStartup/CheckRegions: 4e-06 0 6121 6121 0 6121 6121
main/CarpetStartup/AllocateGridHierarchy: 1.4e-05 0 35501 35501 0 35501 35501
main/CarpetStartup: 0.391052 5.9441 1.01424e+09 1.01424e+09 0 1.01424e+09 1.01424e+09
main/CarpetStartup/CarpetLib::dh::regrid: 0.000228 0.002 507861 5078.61 55148.5 4117 4588
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/region: 0.08453 1.28781 2.19517e+08 2.19517e+06 4.65325e+06 2.13324e+06 2.13324e+06
main/Initialise/CallInitial/Poison: 4.3571 0.683895 1.13007e+10 1.13007e+09 1.43997e+09 7.9476e+08 8.44985e+08
main/CarpetStartup/CarpetLib::gh::regrid: 0.386348 5.88311 1.00198e+09 1.00198e+07 1.16079e+07 9.628e+06 1.00363e+07
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/domain: 0.003785 0.048984 9.8092e+06 98092.1 201084 93799 103315
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid: 0.385657 5.86811 1.00028e+09 1.00028e+07 1.15705e+07 9.61154e+06 1.00205e+07
main/CarpetStartup/CarpetLib::dh::recompose: 8.4e-05 0.001999 205770 2057.7 1825.5 1762 2792
main/Initialise/CallInitial/CallRegridInitialMeta/Recompose/CarpetLib::dh::recompose/dh::recompose_free_old: 0.000706 0 1.85066e+06 1852.52 7642.39 1658 1826
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/buffers: 0.122053 1.86672 3.1693e+08 3.1693e+06 938838 3.09718e+06 3.11793e+06
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/test: 0.141986 2.15466 3.68603e+08 3.68603e+06 3.77952e+06 3.55693e+06 3.56722e+06
main/Initialise/CallInitial/CallRegridInitialMeta/Recompose: 0.018895 0.003 4.90072e+07 4.90072e+06 4.74424e+06 749375 5.83787e+06
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refprol: 8.7e-05 0 207134 2071.34 6532.23 1725 2098
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/mgrest: 7.8e-05 0.001 198635 1986.35 1800.55 1670 1921
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs2: 0.00072 0.015999 1.96662e+06 19666.2 336247 12688 86864
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm: 0.008388 0.131983 2.17525e+07 217525 1.41162e+06 197111 199270
main/Initialise/CallInitial/CallRegridInitialMeta/Regrid/RegridMap/CarpetLib::gh::regrid/CarpetLib::dh::regrid/region: 0.029932 0.028995 7.76557e+07 7.76557e+06 836143 7.01131e+06 7.81827e+06
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/mgprol: 7.4e-05 0 191350 1913.5 1464.73 1630 2233
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/sync: 0.007035 0.105987 1.83922e+07 183922 1.29719e+06 166575 167214
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs1: 9.1e-05 0.002 240533 2405.33 2081.61 2034 2162
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refrest: 8.3e-05 0.001 201447 2014.47 2168.08 1658 2077
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/refbndprol: 8.3e-05 0 208156 2081.56 3692.97 1704 2383
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_boxes: 0.00553 0.100987 1.44464e+07 144464 1.75838e+06 55487 283033
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/unusedpoints_mask: 8.8e-05 0 203511 2035.11 4548.61 1731 2413
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/mask: 0.000382 0.01 1.03365e+06 10336.5 12367.1 7283 11186
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/sync/CarpetLib::dh::bs3: 7.2e-05 0.000999 191787 1917.87 3354.16 1655 2490
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_bnd_prol: 0.001214 0.007999 3.15042e+06 31504.2 190656 25085 31059
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/comm/reflux: 8e-05 0.001999 214107 2141.07 4595.6 1728 2043
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm: 0.013906 0.204973 3.60734e+07 360734 1.87677e+06 300759 486919
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol/CarpetLib::dh::bs1: 0.000105 0 287052 2870.52 6908.34 2331 2952
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol/CarpetLib::dh::bs3: 7.4e-05 0.003 201093 2010.93 1899.89 1685 1740
main/CarpetStartup/CarpetLib::gh::regrid/CarpetLib::dh::regrid/bcast_comm/ref_prol/CarpetLib::dh::bs2: 0.001287 0.015998 3.46036e+06 34603.6 520110 19372 31475
